Engine_kW,Battery_Wh,N_Motors,Split_Frac,Fuel_Burned_kg,Propulsion_Mass_kg
40.00006036373145,19113.434814243214,2,0.5999997993395653,4.46618308533241,98.12619325584433
40.00045361100809,17639.528535864458,2,0.5999405661489998,4.466710762614762,92.56444007030686
40.0087482800959,17500.023532826926,2,0.5935182887860928,4.522848314731906,92.04132396421544
40.09062756963976,17402.861030786382,2,0.5935182887860928,4.524887048534592,91.70742472893659
40.00616594265456,17363.70096653497,2,0.5874345071066791,4.5753110720726,91.52586625077869
40.01280462361176,17210.30058260329,2,0.5874345071066791,4.575481697569561,90.94965234983448
40.00026489297453,16987.18169700116,2,0.5756023984159253,4.676027823610176,90.10267839870363
40.02398279289207,16920.898754106052,2,0.5756023984159253,4.676672796053759,89.86204124585892
40.05370158448657,16850.276507885887,2,0.5632781708692909,4.780830205999564,89.60742972015646
40.01593834428056,16850.276507885887,2,0.5604261068487578,4.803385836625041,89.59232442407406
40.01056878697823,16471.19883429826,2,0.558104611254457,4.822398732773637,88.15969481403
40.00666352732903,16318.828080322794,2,0.5485477607651151,4.900507545730017,87.58314873290442
40.04764063896537,16292.554922542306,2,0.5485476328884782,4.901768549214306,87.50039558593447
40.08848012369559,16223.978244286007,2,0.5409044523561892,4.964873593746688,87.25795146187826
40.67496755785818,16005.768345195725,2,0.5412934392095418,4.980035723717069,86.66911285407053
41.011811821222835,15893.79707554159,2,0.5420942946642231,4.983754369446419,86.38131746638193
40.008957258571066,15724.77573543267,2,0.5325136393022342,5.029345309187096,85.34235926355171
40.000732256763996,15471.884437279958,2,0.5272190637058368,5.070905183010086,84.38476247734695
40.03623715974726,15260.153416347988,2,0.5165865783726781,5.15486085418444,83.59997945389131
40.036593630714506,15204.858484222175,2,0.5165865783726781,5.1548740903398915,83.39146192104873
40.04453233044113,14940.98588447868,2,0.5086410323390517,5.213812394983139,82.39889174152997
40.04453233044113,14940.98588447868,2,0.5086410323390517,5.213812394983139,82.39889174152997
40.00005671372119,14861.387942412886,2,0.5035775334887862,5.248349350088368,82.08073190214088
40.0000366646503,14499.403358112693,2,0.49063972604297096,5.340179246241519,80.71474431911557
40.00661171782741,14272.38137940194,2,0.4804213074439241,5.412704942474103,79.86068762827037
40.0003247779623,14235.859535248568,2,0.4799804535126812,5.415545857978834,79.72035457250027
40.000075054067594,13834.618924771377,2,0.465473411736676,5.518360068392802,78.2061391717077
40.00136856895751,13728.411488642076,2,0.4630667762388101,5.535443599139542,77.80587379981725
40.00136856895751,13728.411488642076,2,0.4630667762388101,5.535443599139542,77.80587379981725
40.01511057151542,13223.189845978824,2,0.4428264652146575,5.687164063462461,75.90487383607343
40.11296145079101,13113.970439066516,2,0.4379384509908297,5.728791161302268,75.5318654824542
40.002420174744415,12988.446096286258,2,0.43424965737171206,5.754050331949306,75.01397220682705
40.01280462361176,12700.26955618214,2,0.423635453710347,5.83700884972048,73.93066734447164
40.01280462361176,12667.214468482838,2,0.4231612663983966,5.840681516174753,73.80593116447427
40.030630368080175,12066.491812086513,2,0.3981784297876952,6.0326505562595445,71.54618351359628
40.00013786126766,12066.491812086513,2,0.39689917465130203,6.041205735866858,71.53398651087127
40.00013786126766,12066.491812086513,2,0.39689917465130203,6.041205735866858,71.53398651087127
40.006586514071415,11716.452925909969,2,0.3850549503148661,6.133324170852293,70.21566451472279
40.00007971404137,11617.710407292307,2,0.3825653142768169,6.15266796491162,69.84044851690827
40.00661171782741,11237.968554231069,2,0.36705136036890645,6.273468967727384,68.4100731936633
40.005830917195354,11060.716915388468,2,0.3588144983689138,6.333776183408373,67.74088676457048
40.08509492914909,10177.074279689754,2,0.32546194721138405,6.5508033836186055,64.43809185728135
40.015344536007866,9972.407054557001,2,0.3092501679262636,6.642817877573357,63.63786254858051
40.03292038914185,9830.310460738545,2,0.3092501679262636,6.6439441496651535,63.10867932825502
40.03854482326698,9722.211066345968,2,0.29148660792505776,6.7484084050889726,62.70300685891422
40.000119610271966,9541.702037025185,2,0.2889723580203952,6.760480799480863,62.00647062533591
40.03619474871814,9223.184316091012,2,0.28126262237487354,6.807439483919075,60.81894701681183
40.10883680187187,8949.821010938611,2,0.26608138662936787,6.901579242860294,59.816444195988794
40.01671262495741,8897.501877519986,2,0.25963241043786356,6.938188423761319,59.58216383307725
40.00512592831009,8837.6619889309,2,0.2540006275310698,6.973758476076256,59.35171825408215
40.114413919786976,8814.277025368232,2,0.2540006275310698,6.979721497579865,59.3071883051534
40.039155308871955,8416.36592349107,2,0.22908323722897758,7.134677367157213,57.77553353294905
40.110412019630196,8247.464021948259,2,0.22543042417789957,7.1618410510805015,57.16667055105306
40.08713174329233,8084.00891054137,2,0.2246632848353015,7.165394874716266,56.54054669935984
40.00601137331848,8000.0997579300865,2,0.21745103204637323,7.206414100770582,56.191460239629606
40.00046879144188,8000.00104985249,2,0.18701753476467703,7.398071190611999,56.188870723567284
40.0001485168001,8000.000685193831,2,0.1864324279419703,7.401741429320387,56.18874123764016
